seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x
396,-0.103031111,-0.034441197,-0.238302015,66.50512695,-9.0690143,53.27895673,-0.045208671,-0.101786861,-0.073630895
397,-0.16478991,0.112811213,-0.310772285,65.76818848,-9.0690646,53.2789417,0.00247474,0.051212368,0.106300814
398,0.09857015,0.047635461,-0.053855932,65.65658569,-9.06910025,53.27893235,-0.039642407,-0.175305864,0.019729962
399,0.385734215,-0.16589469,-0.425856507,65.73580933,-9.0691604,53.2789236,0.104476379,0.130579831,0.014275363
400,0.054359426,-0.190628695,-0.265705893,66.02932739,-9.0691983,53.27891675,0.017596155,0.003288837,-0.077015057
401,0.010221223,-0.029199274,-0.377199625,65.9323527,-9.069256067,53.27890207,0.009280612,0.175587717,0.086095355
402,0.365002092,-0.085395408,0.229654866,66.69439697,-9.06931085,53.27888395,-0.13570858,-0.072451403,0.055607583
403,-0.335640491,0.054827256,0.235379188,66.00787354,-9.0693516,53.2788692,0.076199726,-0.146214152,-0.010632689
404,0.094569901,-0.054220819,-0.113859046,66.04846191,-9.06938515,53.27885915,-0.066921852,-0.015968468,-0.01146673
405,0.158447886,-0.005485417,-0.266512162,66.08089193,-9.069434767,53.27884487,0.076357934,-0.004035748,0.026224376
406,0.1420197,-0.079849787,-0.196561778,66.22128296,-9.0694909,53.27883145,-0.051893648,0.100163898,-0.001722234
407,0.089580968,-0.015743737,-0.487953056,66.45792643,-9.0695422,53.27881737,0.115532736,-0.046899421,0.0337155
408,0.165276895,-0.040409327,-0.748152547,67.07132975,-9.069604633,53.27879933,0.057239928,0.280670131,0.051599532
409,0.216297101,0.041821833,0.063545549,67.38150024,-9.0696537,53.27877955,0.006330992,0.091828208,0.005806519
410,0.36158618,-0.16781255,0.061453941,67.43148804,-9.06968455,53.2787625,-0.076272704,0.031297247,-0.011737501
411,0.013203757,-0.006746736,-0.05504903,67.5797526,-9.069726167,53.27873293,0.034328776,0.084749533,0.015993102
412,-0.059028313,0.089653917,0.39367813,67.88659668,-9.06975665,53.2787042,-0.046089356,-0.092958882,-0.009849556
413,0.169268172,-0.026025896,-0.162193329,68.14678955,-9.06978145,53.2786784,0.127600589,0.090991978,0.031580571
414,0.198725532,-0.00776111,-0.391767992,68.78065999,-9.0698221,53.27864563,0.055603748,0.098886108,0.019782698
415,0.263848724,-0.140122633,-0.167476066,68.77420044,-9.06986305,53.278609,-0.0496779,0.206834058,0.015822661
416,0.0235666,0.00328529,0.612994372,68.17199707,-9.0698785,53.2785845,-0.148093615,-0.161626191,-0.024789615
417,0.057238755,0.071580749,0.635901956,67.67932129,-9.06989535,53.27856045,-0.080591851,-0.148577797,0.024762884
418,-0.070298498,0.126684589,0.068416907,67.53145345,-9.069931133,53.2785304,0.020355186,-0.221577642,0.049807229
419,0.13265991,-0.09730492,0.044384669,67.59854126,-9.06997675,53.2785068,-0.036660195,-0.004589473,-0.004011702
420,-0.098371536,0.009260497,0.177148156,67.52090454,-9.0700233,53.27848765,-0.051006817,-0.193095158,0.011151479
421,0.101356084,0.186189736,-0.405993329,67.79742432,-9.0700675,53.27847713,0.074794318,-0.075566612,0.067730103
422,0.133005922,-0.103648362,-0.721678736,68.16483561,-9.070128433,53.2784605,0.071051072,0.140675868,0.019897294
423,0.155144066,-0.088498068,-0.700930395,68.22702026,-9.0701783,53.27843605,0.055187139,0.229125121,0.019780062
424,0.096033782,-0.024623837,-0.1788994,68.39538574,-9.0702145,53.27841415,-0.02597845,0.012053292,-0.006414715
425,-0.008980624,0.096689177,0.201234598,68.53723145,-9.0702476,53.27839445,-0.112897729,-0.114467187,-0.00570716
426,0.105673018,-0.015030904,0.048503045,68.63745117,-9.0702976,53.2783613,0.022650829,-0.007422392,0.013889202
427,0.002386409,0.025135078,0.022888636,68.81494141,-9.07034315,53.2783375,-0.003514703,-0.04778256,0.008160746
428,-0.150365382,0.032436805,-0.168536728,68.97753906,-9.070402133,53.2783088,0.064305162,-0.004201865,0.012745097
429,0.169397165,-0.050249743,0.054320085,69.02471924,-9.070457,53.27827765,-0.07085268,-0.0200431,0.014658853
430,0.145366012,-0.089382469,-0.296315986,69.08807373,-9.0704969,53.27825535,0.101976994,0.114548648,0.009683784
431,0.127974195,-0.090788212,0.006283222,69.3423055,-9.0705377,53.27823707,-0.051400964,0.007350152,-0.003362739
432,0.009323713,0.012457682,-0.104360826,69.88785807,-9.070585567,53.27820927,-0.010289649,-0.029417495,0.006071382
433,0.058496991,0.018659706,-0.071873776,70.18375651,-9.0706312,53.2781825,0.001081903,0.024136039,-1.80E-04
434,-0.050383095,0.039806777,-0.080740951,70.17976888,-9.0706799,53.27815583,0.003289824,-0.035882907,0.004386471
435,0.180280839,-0.131852341,0.073823684,70.14074707,-9.0707206,53.2781319,-0.022431123,0.011304942,-0.002838095
436,-0.117929335,-0.034903297,-0.161030597,70.10701497,-9.070762733,53.2781115,0.032845402,-0.042456243,0.017726811
437,0.169955257,0.12386821,-0.372668928,70.12451172,-9.0708194,53.2780791,0.014467181,-0.0210035,0.007176197
438,-0.025256265,-0.100945053,0.298261518,70.94567871,-9.0708561,53.278058,-0.059560881,-0.008208023,-0.001684949
439,-0.041446741,-0.032022405,-0.139558778,70.69165039,-9.0708941,53.27803735,0.084207662,0.04650626,0.013467579
440,0.172047824,0.010976596,-0.088640687,70.35910034,-9.0709378,53.27801825,-0.027126269,0.015097282,-5.13E-04
441,-0.075008111,0.033003807,-0.151836851,70.59030151,-9.0709836,53.2779956,-0.003652846,0.0352788,0.00593954
442,0.001306503,-0.017846313,0.017012938,70.76315308,-9.07102415,53.27797485,-0.031115684,-0.055985091,-0.005903393
443,0.064616549,-0.053318132,-0.07333262,70.46107992,-9.0710724,53.2779498,-0.0070253,-0.039163075,1.18E-04
444,-0.176468378,0.078422737,-0.112418921,70.34495036,-9.071124733,53.27792593,0.032866704,-0.011571594,0.008965024
445,0.103203403,-0.061875243,-0.051013386,70.46447754,-9.0711756,53.2779024,-0.014518881,0.063329748,-0.002992559
446,0.06028643,0.049609968,-0.217218022,70.45083618,-9.07120885,53.2778836,0.087437729,0.005390778,0.032858537
447,0.047572733,-0.064433365,0.007672754,70.42942301,-9.071257067,53.27786397,-0.086562648,0.012282321,-0.019315059
448,-0.041057634,-0.021822467,0.040283158,70.3444519,-9.07130735,53.27783755,-0.042664167,-0.036650216,0.006662021
449,-0.014716136,0.001801739,-0.177338545,70.24853516,-9.07134275,53.27782385,0.060611494,-0.061588382,0.028949366
450,0.087870841,-0.037911755,-0.202495954,70.19441732,-9.071386933,53.27780653,-0.040436084,0.068246595,-0.00419892
